시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료내용,수강료공개여부,기숙사학원여부,도로명우편번호,도로명주소,도로명상세주소,적재일시
B10,서울특별시교육청,강남구,교습소,3000037367,1%국어교습소,20200819,20200819,개원,,,3,3,입시.검정 및 보습,보통교과,,보습,,Y,N,06207,서울특별시 강남구 도곡로 405,/ 309호 (대치동),20200830005523
B10,서울특별시교육청,강남구,교습소,3000026519,37아트스튜디오유학미술교습소,20160613,20160613,개원,,,18,9,예능(대),예능(중),,미술,,Y,N,06154,서울특별시 강남구 삼성로107길 18,/ 2층202호 (삼성동),20200830005523
B10,서울특별시교육청,강남구,교습소,3000017743,3에스잉글리쉬영어교습소,20130715,20130715,개원,,,3,3,입시.검정 및 보습,보통교과,영어,보습,,,N,135888,서울특별시 강남구 압구정로 114,/ 302호 (신사동/신사빌딩),20200830005523
B10,서울특별시교육청,강남구,교습소,3000024877,9087스튜디오미술교습소,20151208,20151208,개원,,,4,9,예능(대),예능(중),드로잉,미술,,Y,N,06755,서울특별시 서초구 바우뫼로20길 25,/ 201호 (양재동/ 서두빌딩),20200830005523
B10,서울특별시교육청,강남구,교습소,3000035363,GLMA글로벌인생만남논술교습소,20191014,20191014,개원,,,25,5,입시.검정 및 보습,보통교과,,보습·논술,,Y,N,06342,서울특별시 강남구 일원로5길 71,/ 1층 전체 (일원동),20200830005523
B10,서울특별시교육청,강남구,교습소,3000036123,HSC진학상담지도교습소,20200117,20200117,개원,,,5,0,입시.검정 및 보습,진학지도,,진학상담지도,,Y,N,06029,서울특별시 강남구 논현로175길 64,/ 6층 전체 (신사동),20200830005523
B10,서울특별시교육청,강남구,교습소,3000035664,J바이올린음악교습소,20191113,20191113,개원,,,7,1,예능(대),예능(중),,음악,,Y,N,06006,서울특별시 강남구 압구정로 309,/ B동 203-3호 (압구정동/ 현대아파트),20200830005523
B10,서울특별시교육청,강남구,교습소,3000030619,SJ수학교습소,20171220,20171220,개원,,,4,4,입시.검정 및 보습,보통교과,,보습,,Y,N,06359,서울특별시 강남구 광평로10길 6,/ 207호 (일원동/ 한솔마을상가동),20200830005523
B10,서울특별시교육청,강남구,교습소,3000019582,가슴시각미술교습소,20140228,20140228,개원,,,18,9,예능(대),예능(중),,미술,,Y,N,137040,서울특별시 서초구 신반포로 100,/ 410호/411호 (반포동/래미안 퍼스티지 신반포역상가),20200830005523
B10,서울특별시교육청,강남구,교습소,3000025167,가온수학교습소,20160111,20160111,개원,,,4,4,입시.검정 및 보습,보통교과,,보습,,Y,N,06199,서울특별시 강남구 역삼로64길 18,/ 302호 (대치동),20200830005523
