"도서관명","위도","경도"
"강남구립못골도서관",37.47153836,127.096582
"강남역삼푸른솔도서관",37.4964968,127.0320274
"어울림도서관",37.56171915,127.0189284
"한국학생공공도서관대학문화원(구한국학생도서관)",37.56070426,127.0021513
"논현도서관",37.5172779092976,127.037187913597
"대치도서관",37.49879449,127.066997
"도곡정보문화도서관",37.4883101,127.0388803
"못골한옥어린이도서관",37.50230515,127.0641886
"서울특별시교육청강남도서관",37.51368143,127.0468374
"서울특별시교육청개포도서관",37.48308019,127.063867
"역삼도서관",37.49537399,127.0332844
"정다운도서관",37.51909941,127.0464411
"즐거운도서관",37.49973075,127.0578497
"청담도서관",37.52509298,127.0492914
"행복한도서관",37.50230515,127.0641886
"강동구립강일도서관",37.56504077,127.1739073
"강동구립성내도서관",37.53283244,127.1333354
"강동구립암사도서관",37.55283455,127.1333221
"강동구립천호도서관",37.54052333,127.1340816
"강동구립해공도서관",37.54394314,127.1255359
"명성교회도서관",37.54691053,127.1462765
"서울특별시교육청강동도서관",37.53815107,127.1434874
"서울특별시교육청고덕평생학습관",37.55930391,127.1579066
"강북문화정보도서관",37.6251151,127.0360795
"강북청소년문화정보도서관",37.62307414,127.0215511
"미아문화정보도서관",37.62709228,127.0269757
"삼각산어린이도서관",37.63005002,127.0175582
"솔샘문화정보도서관",37.62047806,127.0124026
"송중문화정보도서관",37.61831389,127.0299377
"수유문화정보도서관",37.63005002,127.0175582
"가양도서관",37.55994851,126.8655346
"강서영어도서관",37.53468572,126.8608018
"양원숲속도서관",37.60266318,127.1039257
"곰달래도서관",37.52905938,126.8488976
"길꽃어린이도서관",37.57871971,126.8136582
"꿈꾸는어린이도서관",37.54733669,126.8733189
"등빛도서관",37.56245409,126.8423739
"서울특별시교육청강서도서관",37.5479003,126.8599262
"우장산숲속도서관",37.54828757,126.8418355
"푸른들청소년도서관",37.54467538,126.835182
"관악문화관도서관",37.46759816,126.9448714
"글빛정보도서관",37.4862426,126.9596701
"성현동작은도서관",37.48731057,126.956182
"은천동작은도서관",37.48530503,126.9424097
"조원도서관",37.48256322,126.9077952
"광진정보도서관",37.55067985,127.1102945
"구의제3동도서관",37.53799119,127.0919832
"자양제4동도서관",37.5341003,127.0662596
"자양한강도서관",37.5292155199266,127.077667985801
"중곡문화체육센터도서관",37.55064684,127.0761197
"개봉도서관",37.49008228,126.8584998
"개봉어린이도서관",37.49674271,126.8559101
"구로기적의도서관",37.50673545,126.877376
"구로꿈나무도서관",37.50622215,126.8920012
"궁동어린이도서관",37.50531416,126.8928724
"글마루한옥어린이도서관",37.50692111,126.8456405
"꿈마을도서관",37.48714477,126.8901557
"서울특별시교육청고척도서관",37.50534626,126.8530515
"서울특별시교육청구로도서관",37.49867236,126.8911162
"오류도서관",37.4971852,126.8401143
"온누리도서관",37.49751199,126.8854812
"하늘도서관",37.50531416,126.8928724
"금천구립가산도서관",37.47349155,126.8921299
"금천구립금나래도서관",37.45690514,126.8953686
"금천구립독산도서관",37.4675797,126.908105
"금천구립시흥도서관",37.4496304162832,126.91461133809
"공릉청소년문화정보센터화랑도서관",37.62151605,127.0830474
"공릉행복발전소공릉도서관",37.62204715,127.0727749
"노원어린이도서관",37.65795038,127.07638
"노원정보도서관",37.66109973,127.0650094
"불암도서관",37.64528936,127.0825433
"상계문화정보도서관",37.67852767,127.0519406
"서울특별시교육청노원평생학습관",37.63953995,127.067837
"월계문화정보도서관",37.62863532,127.0561218
"월계어린이도서관",37.62426736,127.0507933
"한내지혜의숲도서관",37.62358744,127.0687821
"향기나무도서관",37.64618165,127.0696625
"도봉기적의도서관",37.68080449,127.0501336
"도봉문화정보도서관",37.64477544,127.0438644
"도봉아이나라도서관",37.65904725,127.0495075
"둘리도서관",37.65243153,127.0276397
"서울특별시교육청도봉도서관",37.65253218,127.0127628
"학마을도서관",37.6621577,127.0278303
"동대문구답십리도서관",37.57319319,127.0503606
"동대문구정보화도서관",37.58996904,127.0472892
"배봉산 숲속도서관",37.5784361,127.0605702
"서울특별시교육청동대문도서관",37.57348736,127.0247655
"휘경어린이도서관",37.58868538,127.0606088
"대방어린이도서관",37.51310982,126.9311477
"동작상도국주도서관",37.50682006,126.950995
"동작어린이도서관",37.50919685,126.9434278
"사당솔밭도서관",37.48408051,126.9673502
"서울특별시교육청동작도서관",37.50596898,126.9401028
"약수도서관",37.4978869,126.9474565
"마포구립서강도서관",37.54773525,126.9320621
"마포구립하늘도서관",37.56631258,126.9016155
"마포중앙도서관",37.56379606,126.9082023
"마포푸르메어린이도서관",37.58464747,126.8805204
"서울특별시교육청마포평생학습관",37.5543221,126.9242045
"서울특별시교육청마포평생학습관아현분관",37.55416693,126.9573466
"남가좌새롬어린이도서관",37.5783399,126.9240451
"서대문구립이진아기념도서관",37.57295407,126.9555492
"서울특별시교육청서대문도서관",37.58331954,126.9408583
"홍은도담도서관",37.60177311,126.9489548
"그림책도서관",37.49060375,127.0050971
"내곡도서관",37.45200429,127.054445
"반포도서관",37.50248627,127.0125127
"방배도서관",37.4784386,126.9999959
"서이도서관",37.49206882,127.0249474
"양재도서관",37.473679184261,127.03357244367
"잠원도서관",37.51496828,127.0139817
"무지개도서관",37.56342271,127.0369648
"성동구립금호도서관",37.55413024,127.0248941
"성동구립도서관",37.55918517,127.0349643
"성동구립용답도서관",37.56670257,127.0513055
"성수도서관",37.54542874,127.0469481
"청계도서관",37.56395923,127.0358722
"달빛마루도서관",37.60505817,127.0309905
"석관동미리내도서관",37.6134739565291,127.065492174976
"성북길빛도서관",37.6099592726924,127.026441403711
"성북정보도서관",37.60497334,127.0505857
"아리랑어린이도서관",37.59882719,127.0136237
"아리랑정보도서관",37.60006212,127.0139286
"월곡꿈그림도서관",37.60477383,127.0406257
"장위행복누림도서관",37.6157898,127.0435886
"정릉도서관",37.60474095,127.0105829
"종암동새날도서관",37.5990314,127.035222
"청수도서관",37.61175536,127.0107763
"해오름어린이도서관",37.59558967,127.0121197
"가락몰도서관",37.49467422,127.1086491
"거마도서관",37.4935326,127.146824
"돌마리도서관",37.50356529,127.1036861
"서울특별시교육청송파도서관",37.49999503,127.1348515
"소나무언덕2호작은도서관",37.5072682,127.0942189
"소나무언덕3호작은도서관",37.49233228,127.1566451
"소나무언덕잠실본동작은도서관",37.50309253,127.0788491
"송파글마루도서관",37.4808353,127.1304785
"송파어린이도서관",37.51210257,127.0823945
"송파어린이영어작은도서관",37.5223926038778,127.102983014327
"송파위례도서관",37.48116507,127.1439372
"지샘터올림픽공원도서관",37.51225244,127.1135035
"갈산도서관",37.50898517,126.8671394
"개울건강도서관",37.52597157,126.8565997
"목마교육도서관",37.54250898,126.8721113
"미감도서관",37.5389681521143,126.865489157491
"방아다리문학도서관",37.53858309,126.8271748
"서울특별시교육청양천도서관",37.53349939,126.8757691
"신월음악도서관",37.5246975,126.8400821
"양천영어특성화도서관",37.5159767,126.8638554
"해맞이역사도서관",37.51907269,126.8356052
"대림정보문화도서관",37.50431669,126.8960768
"문래정보문화도서관",37.51685383,126.8908928
"서울특별시교육청영등포평생학습관",37.52580934,126.9071819
"선유정보문화도서관",37.53333762,126.8929418
"여의샛강마을도서관",37.52217929,126.9199164
"서울특별시교육청남산도서관",37.55255227,126.9821555
"서울특별시교육청용산도서관",37.55200494,126.9801399
"용산꿈나무도서관",37.54189105,126.9684171
"청파도서관",37.55278347,126.9675304
"구산동도서관마을",37.60950609,126.9130867
"내를건너서숲으로도서관",37.59169634,126.908048
"상림마을작은도서관",37.64421437,126.9289416
"은뜨락도서관",37.63013935779,126.919931243441
"은평구립도서관",37.61897708,126.9282714
"은평뉴타운도서관",37.63722997,126.9331171
"응암정보도서관",37.58596642,126.9196809
"증산정보도서관",37.58280957,126.9076717
"4.19혁명기념도서관",37.5675109,126.9655318
"서울특별시교육청어린이도서관",37.57607257,126.9683689
"서울특별시교육청정독도서관",37.58103147,126.983694
"서울특별시교육청종로도서관",37.5764504,126.9664672
"아름꿈도서관",37.57261854,127.0169671
"어린이청소년 국학도서관",37.5885021,126.9932172
"청운문학도서관",37.59037936,126.9659196
"가온도서관",37.5563848,127.0108371
"남산타운어린이도서관",37.54949484,127.0088734
"손기정어린이도서관",37.5551209,126.9625541
"중랑구립면목정보도서관",37.58735398,127.0875542
"중랑구립정보도서관",37.61517065,127.0869063
"중랑상봉도서관",37.5930958,127.0787114
"중랑숲어린이도서관",37.60266318,127.1039257
